"","Yearround","Handicap","indicator","Lat","Long"
"437","Yes","Not Available",1,40.673605,-73.786032
"438","Yes","Not Available",1,40.7008946,-73.9460852
"439","Yes","Not Available",2,40.7035905,-74.0144071
"440","Yes","Not Available",1,40.634803,-73.887118
"441","Yes","Not Available",1,40.708391,-73.9639214
"442","Yes","Not Available",1,40.602355,-74.002215
"443","Yes","Not Available",1,40.597859,-74.000014
"444","Yes","Not Available",1,40.664648,-73.911824
"445","Yes","Not Available",1,40.7395042,-73.90273
"446","Yes","Not Available",1,40.6356534,-73.9118244
"447","Yes","Not Available",1,40.592201,-73.945611
"448","Yes","Not Available",1,40.7362218,-74.0055909
"449","Yes","Yes",1,40.587452,-74.133367
"450","","Yes",1,40.534986,-74.208435
"451","Yes","Yes",2,40.5291996,-74.1761352
"452","Yes","Not Available",1,40.7705766,-73.807311
"453","Yes","Not Available",1,40.7579884,-73.8248135
"454","Yes","Not Available",1,40.7258447,-73.7290298
"455","Yes","Not Available",1,40.652276,-73.892182
"456","Yes","Not Available",2,40.8543818,-73.8610494
"457","Yes","Not Available",2,40.8370495,-73.8654295
"458","Yes","Not Available",2,40.8740125,-73.8833881
"459","Yes","Not Available",1,40.8609032,-73.8706083
"460","Yes","Not Available",1,40.8067116,-73.9222962
"461","Yes","Yes",1,40.8370495,-73.8654295
"462","Yes","Not Available",2,40.9476645,-73.8345485
"463","Yes","Not Available",2,40.8370495,-73.8654295
"464","Yes","Yes",2,40.864696,-73.871816
"465","Yes","Not Available",1,40.660019,-73.745362
"466","Yes","Not Available",1,40.6735874,-73.9431462
"467","Yes","Not Available",1,40.838143,-73.831052
"468","Yes","Not Available",1,40.689689,-73.743155
"469","Yes","Not Available",1,40.713785,-73.9541673
"470","Yes","Not Available",1,40.6303632,-73.8926247
"471","Yes","Yes",1,40.8178344,-73.906772
"472","Yes","Not Available",1,40.7124413,-73.7988958
"473","Yes","Not Available",1,40.74732,-73.820605
"474","Yes","Yes",1,40.681041,-73.995684
"475","No","Not Available",1,40.6802881,-73.9207346
"476","Yes","Not Available",1,40.8373952,-73.8538521
"477","Yes","Yes",1,40.86798,-73.842142
"478","","Yes",1,40.780756,-73.961612
"479","Yes","Not Available",1,40.767685,-73.97127
"480","","Not Available",1,40.773802,-73.970849
"481","Yes","Not Available",1,40.793717,-73.952457
"482","Yes","Yes",1,40.797116,-73.951372
"483","","Not Available",1,40.768479,-73.977202
"484","Yes","Not Available",1,40.773991,-73.966545
"485","Yes","Not Available",1,40.775303,-73.968766
"486","Yes","Yes",1,40.791119,-73.95971
"487","","Not Available",1,40.777381,-73.969528
"488","No","Yes",1,40.773044,-73.974266
"489","","Not Available",1,40.772206,-73.977604
"490","Yes","Not Available",1,40.789586,-73.961918
"491","No","Not Available",1,40.796921,-73.958977
"492","Yes","Not Available",1,40.779607,-73.963244
"493","No","Not Available",1,40.769285,-73.980984
"494","Yes","Yes",1,40.767751,-73.974466
"495","Yes","Yes",1,40.78029,-73.968779
"496","Yes","Not Available",2,40.8427457,-73.908643
"497","Yes","Yes",1,40.8137639,-73.9214695
"498","Yes","Not Available",1,40.609572,-73.969435
"499","Yes","Not Available",1,40.7112051,-73.9936545
"500","Yes","Not Available",1,40.7858,-73.846496
"501","No","Not Available",2,40.7018957,-73.9369936
"502","Yes","Not Available",1,40.620224,-73.937493
"503","Yes","Not Available",1,40.7474938,-73.8549547
"504","Yes","Not Available",1,40.7392063,-74.0048564
"505","No","Not Available",1,40.6379157,-74.1184904
"506","Yes","Not Available",1,40.8353103,-73.8958401
"507","Yes","Yes",1,40.729372,-73.772702
"508","Yes","Not Available",1,40.6999581,-73.7582662
"509","Yes","Not Available",1,40.6145077,-74.0742565
"510","Yes","Not Available",1,40.702291,-73.784136
"512","Yes","Yes",1,40.537665,-74.162203
"513","Yes","Not Available",1,40.6809517,-73.8033076
"514","Yes","Not Available",1,40.561588,-74.110892
"515","Yes","Not Available",1,40.698433,-73.740198
"516","Yes","Not Available",1,40.8841875,-73.8450307
"517","Yes","Not Available",1,40.7360573,-73.8053296
"518","No","Not Available",1,40.758943,-73.869324
"519","Yes","Not Available",1,40.7229926,-73.8270377
"520","Yes","Not Available",1,40.7359996,-73.840436
"521","Yes","Yes",1,40.7408291,-73.8499488
"522","Yes","Not Available",1,40.7375349,-73.8457658
"523","Yes","Not Available",1,42.2463216,-70.9972162
"524","Yes","Not Available",1,40.7007278,-73.8431928
"525","No","Not Available",1,40.698519,-73.85805
"526","Yes","Not Available",2,40.7096359,-73.834812
"527","Yes","Not Available",1,40.697681,-73.856495
"528","Yes","Not Available",1,40.702856,-73.849107
"529","Yes","Not Available",1,40.701735,-73.853268
"530","Yes","Not Available",1,40.700661,-73.856004
"531","Yes","Not Available",1,40.6914866,-73.9753317
"532","Yes","Not Available",1,40.8816434,-73.8961157
"533","Yes","Not Available",1,40.760445,-73.78434
"534","Yes","Not Available",1,40.7442965,-73.8865612
"535","Yes","Not Available",1,40.7847847,-73.8341872
"536","Yes","Not Available",1,40.683447,-73.807767
"537","Yes","Not Available",1,40.7341196,-73.7961384
"538","Yes","Not Available",1,40.618619,-73.972871
"539","Yes","Yes",1,40.6368433,-73.9196324
"540","Yes","Not Available",1,40.7625011,-73.8843563
"541","Yes","Not Available",1,40.8356154,-73.9033731
"542","Yes","Not Available",1,40.6802801,-73.9852314
"543","Yes","Yes",1,40.63078,-74.164679
"544","Yes","Not Available",1,40.6234499,-73.9842885
"545","Yes","Not Available",1,40.6864082,-73.9659225
"546","Yes","Not Available",1,40.6502804,-73.9764294
"547","Yes","Not Available",1,40.834281,-74.282995
"548","No","Not Available",1,40.732456,-73.731724
"549","No","Yes",1,40.721486,-73.757948
"550","Yes","Not Available",1,40.643022,-73.923026
"551","Yes","Not Available",1,40.7928327,-73.8518567
"552","Yes","Not Available",1,40.582287,-74.123155
"553","Yes","Not Available",1,40.584828,-74.12514
"554","Yes","Yes",1,40.582531,-74.123208
"555","Yes","Not Available",1,40.584539,-74.125161
"556","Yes","Not Available",1,40.4959379,-74.4243178
"557","Yes","Not Available",1,40.732715,-73.872106
"558","Yes","Not Available",2,40.8174777,-73.946736
"559","Yes","Not Available",1,40.613194,-74.03008
"560","Yes","Not Available",1,40.715846,-73.8011017
"561","Yes","Not Available",1,40.7071757,-73.8915223
"562","Yes","Yes",1,40.720218,-73.881372
"563","Yes","Not Available",1,40.704224,-73.785937
"564","Yes","Not Available",1,40.726407,-73.847432
"565","Yes","Not Available",1,40.771013,-73.779077
"566","Yes","Not Available",1,40.744708,-73.809363
"567","Yes","Not Available",1,40.709894,-73.959284
"568","Yes","Not Available",1,40.629766,-74.010631
